,Ticker,Price,One_year Price Return,Number of shares to Buy
0,A,113.99,0.21279,N/A
1,AAP,64.61,0.12529999,N/A
2,AAPL,178.18,1.60093,N/A
3,ABBV,149.02,0.63017,N/A
4,ABC,179.98,2.3366401,N/A
5,ABT,100.73,0.13926,N/A
6,ACN,325.47,0.30319,N/A
7,ADBE,560.36,0.33681,N/A
8,ADI,177.47,0.10345,N/A
9,ADM,78.81,0.16655001,N/A
10,ADP,249.37,1.0133001,N/A
11,ADSK,219.19,0.89825,N/A
12,AEE,79.41,0.107609995,N/A
13,AEP,77.74,0.08191,N/A
14,AES,17.27,-0.061290003,N/A
15,AFL,74.83,0.19569999,N/A
16,AIG,59.66,0.11231,N/A
17,AIV,7.42,-0.21502,N/A
18,AIZ,138.36,0.077199996,N/A
19,AJG,228.19,0.11545,N/A
20,AKAM,104.68,0.11164,N/A
21,ALB,184.43,0.49376,N/A
22,ALGN,332.26,0.0868,N/A
23,ALK,39.81,0.04129,N/A
24,ALL,106.2,-0.15188,N/A
25,ALLE,108.1,0.53703,N/A
26,AMAT,147.53,0.47439998,N/A
27,AMCR,9.25,0.25708,N/A
28,AMD,106.09,-0.00045000002,N/A
29,AME,153.9,0.16428,N/A
30,AMGN,259.43,1.73457,N/A
31,AMP,345.05,0.57896,N/A
32,AMT,180.89,0.07738,N/A
33,AMZN,138.23,0.087139994,N/A
34,ANET,196.47,0.34662,N/A
35,ANSS,314.35,0.111899994,N/A
36,AON,333.45,5.76421,N/A
37,AOS,70.19,0.14866,N/A
38,APA,44.26,1.16026,N/A
39,APD,298.51,0.15038,N/A
40,APH,85.89,0.27161,N/A
41,APTV,100.48,0.11031,N/A
42,ARE,115.01,0.03396,N/A
43,ATO,114.18,0.08444,N/A
44,ATVI,92.12,0.11096,N/A
45,AVB,179.28,0.10998,N/A
46,AVGO,857.55,0.64757,N/A
47,AVY,181.06,0.28643,N/A
48,AWK,137.73,0.10353,N/A
49,AXP,157.43,0.29801,N/A
50,BAC,28.36,0.10782,N/A
51,BAX,38.67,-0.38627,N/A
52,BBY,73.23,0.45049998,N/A
53,BDX,266.76,0.06471,N/A
54,BEN,25.93,0.070199996,N/A
55,BIIB,258.99,0.2025,N/A
56,BIO,357.91,-0.04932,N/A
57,BK,44.78,0.072340004,N/A
58,BKNG,3143.1,2.67126,N/A
59,BKR,36.95,0.07737,N/A
60,BLK,690.62,0.13453001,N/A
61,BMY,60.82,0.24662,N/A
62,BR,187.73,0.30319,N/A
63,BSX,53.87,0.05104,N/A
64,BWA,40.03,0.13684,N/A
65,BXP,66.58,0.0996,N/A
66,C,40.59,0.06676,N/A
67,CAG,29.1,0.07733,N/A
68,CARR,58.66,0.29188,N/A
69,CB,204.67,0.11201,N/A
70,CBOE,153.06,0.18801,N/A
71,CBRE,85.24,0.09770001,N/A
72,CCI,99.24,0.22902,N/A
73,CCL,15.3,-0.4909,N/A
74,CDNS,237.99,0.32152998,N/A
75,CDW,212.67,0.79260004,N/A
76,CE,124.55,0.22629,N/A
77,CF,83.74,0.34963,N/A
78,CFG,27.37,0.09509,N/A
79,CHD,95.67,0.1197,N/A
80,CHRW,86.32,0.31053,N/A
81,CHTR,422.42,0.38838002,N/A
82,CI,281.48,0.14821,N/A
83,CINF,105.0,0.12575,N/A
84,CL,73.2,3.83276,N/A
85,CLX,154.7,0.28827,N/A
86,CMA,46.73,0.21579,N/A
87,CMCSA,45.03,0.06925,N/A
88,CME,204.99,0.10673001,N/A
89,CMG,1945.1,0.45286998,N/A
